ye1_38b,ye1_38c,total_expend,status,hhtype,y_nfm,total_food,percentile,price_per_liter,total_expend_per_person,total_food_per_person,ye1_38c_per_person
1.1600000000000004,452.3573,31943.421875,3.0,глава Женщина пенс возраста,1.0,9099.4404296875,52,389.9631896551723,31943.421875,9099.4404296875,452.3573
1.031,365.87069999999994,25445.6796875,3.0,глава Женщина пенс возраста,1.0,6879.6796875,41,354.86973811833167,25445.6796875,6879.6796875,365.87069999999994
1.0,334.29,10472.8603515625,3.0,глава Женщина пенс возраста,1.0,3852.860107421875,8,334.29,10472.8603515625,3852.860107421875,334.29
1.1669999999999998,469.8428,56543.4609375,3.0,глава Мужчина трудоспос возраста,4.0,26568.109375,79,402.60736932305065,14135.865234375,6642.02734375,117.4607
1.0010000000000001,408.39490000000006,53498.51171875,3.0,глава Мужчина трудоспос возраста,3.0,20237.90234375,77,407.9869130869131,17832.837239583332,6745.967447916667,136.13163333333335
1.0490000000000002,328.0696999999997,28083.560546875,3.0,глава Мужчина пенс возраста,2.0,7883.56005859375,45,312.74518589132475,14041.7802734375,3941.780029296875,164.03484999999986
1.0,308.57,71090.8046875,3.0,глава Мужчина трудоспос возраста,5.0,15743.7197265625,87,308.57,14218.1609375,3148.7439453125,61.714
1.2599999999999998,510.00030000000004,67954.4921875,3.0,глава Мужчина трудоспос возраста,3.0,25271.779296875,85,404.762142857143,22651.497395833332,8423.926432291666,170.0001
2.0,642.86,62335.19140625,3.0,глава Мужчина трудоспос возраста,5.0,22405.3125,83,321.43,12467.03828125,4481.0625,128.572
0.9,385.71,46287.7421875,3.0,глава Мужчина трудоспос возраста,2.0,13868.55078125,70,428.5666666666666,23143.87109375,6934.275390625,192.855
1.0,325.71,33488.23828125,3.0,глава Мужчина трудоспос возраста,2.0,9511.5087890625,54,325.71,16744.119140625,4755.75439453125,162.855
1.0,432.86,19728.98046875,3.0,глава Женщина трудоспос возраста,2.0,10028.9794921875,29,432.86,9864.490234375,5014.48974609375,216.43
1.0,325.71,43888.1328125,3.0,глава Мужчина трудоспос возраста,2.0,6287.14013671875,68,325.71,21944.06640625,3143.570068359375,162.855
1.0,385.71,16331.224609375,3.0,глава Мужчина трудоспос возраста,2.0,7482.15966796875,21,385.71,8165.6123046875,3741.079833984375,192.855
1.4530000000000003,526.3256999999995,36914.37109375,4.0,глава Мужчина пенс возраста,3.0,7284.3701171875,60,362.2337921541634,12304.790364583334,2428.1233723958335,175.44189999999983
1.1550000000000002,417.4255999999995,21093.150390625,4.0,глава Женщина пенс возраста,1.0,5537.14990234375,32,361.4074458874454,21093.150390625,5537.14990234375,417.4255999999995
1.0,325.71,29186.0703125,4.0,глава Женщина пенс возраста,1.0,9036.0703125,47,325.71,29186.0703125,9036.0703125,325.71
2.063,665.1,61044.75,4.0,глава Женщина трудоспос возраста,1.0,9178.7802734375,82,322.3945710130877,61044.75,9178.7802734375,665.1
1.0,334.29,38745.828125,4.0,глава Мужчина пенс возраста,2.0,17419.560546875,62,334.29,19372.9140625,8709.7802734375,167.145
1.0,334.29,18277.12890625,4.0,глава Женщина пенс возраста,1.0,11147.1298828125,25,334.29,18277.12890625,11147.1298828125,334.29
1.159000000000001,347.3159000000003,46365.3515625,4.0,глава Мужчина трудоспос возраста,3.0,6720.98046875,70,299.6685936151855,15455.1171875,2240.3268229166665,115.77196666666676
1.2570000000000001,439.1147000000001,76666.765625,4.0,глава Мужчина трудоспос возраста,2.0,10508.5810546875,89,349.33548130469376,38333.3828125,5254.29052734375,219.55735000000004
1.444,524.4410999999997,20449.009765625,4.0,глава Мужчина трудоспос возраста,2.0,4902.85986328125,30,363.18635734072,10224.5048828125,2451.429931640625,262.22054999999983
1.3339999999999999,795.9840000000003,17622.0,4.0,глава Женщина трудоспос возраста,3.0,3869.639892578125,24,596.6896551724141,5874.0,1289.8799641927083,265.3280000000001
1.0,312.86,55436.98828125,4.0,глава Мужчина трудоспос возраста,2.0,6218.07958984375,79,312.86,27718.494140625,3109.039794921875,156.43
2.49,937.4134000000006,45810.91796875,4.0,глава Мужчина трудоспос возраста,5.0,14765.859375,70,376.4712449799199,9162.18359375,2953.171875,187.48268000000013
1.0,471.43,29005.46875,4.0,глава Женщина пенс возраста,1.0,17105.71875,47,471.43,29005.46875,17105.71875,471.43
3.975,1794.6644000000001,64122.1015625,4.0,глава Мужчина трудоспос возраста,4.0,41460.734375,84,451.4878993710692,16030.525390625,10365.18359375,448.66610000000003
